repo	stars	lang	fork	archived	readme	license	gitignore	ci	tests	lintcfg	lockfile	manifest	contributing	security	coc	issue_tmpl	pr_tmpl	dependabot	docs_dir	changelog	editorconfig	codeowners	precommit	skills	agent_md	plugins	templates	examples	prompts	schema	mcp	marketplace	hooks	commands
anthropics/claude-code	134269	Python	false	false	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1
openai/codex	93513	Rust	false	false	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0
google-gemini/gemini-cli	105534	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1
sst/opencode	178315	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
cline/cline	63870	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
continuedev/continue	34440	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	1	1	1
block/goose	50158	Rust	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1
OpenInterpreter/open-interpreter	64119	Rust	false	false	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0
Aider-AI/aider	46670	Python	false	false	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TabbyML/tabby	33651	Rust	false	false	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1
RooCodeInc/Roo-Code	24271	TypeScript	false	true	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1	1
Kilo-Org/kilocode	24497	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
plandex-ai/plandex	15475	Go	false	false	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0
QwenLM/qwen-code	25502	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1
charmbracelet/crush	25691	Go	false	false	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1
AntonOsika/gpt-engineer	55205	Python	false	true	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
All-Hands-AI/OpenHands	78276	Python	false	false	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0
SWE-agent/SWE-agent	19620	Python	false	false	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
princeton-nlp/SWE-agent	19620	Python	false	false	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
Significant-Gravitas/AutoGPT	185157	Python	false	false	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1
FoundationAgents/MetaGPT	69017	Python	false	false	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0
langchain-ai/langchain	140144	Python	false	false	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	0
langchain-ai/langgraph	35684	Python	false	false	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
microsoft/autogen	59228	Python	false	false	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0
crewAIInc/crewAI	54327	Python	false	false	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0
agno-agi/agno	40837	Python	false	false	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	0
huggingface/smolagents	28005	Python	false	false	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0
openai/openai-agents-python	27411	Python	false	false	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0
pydantic/pydantic-ai	17991	Python	false	false	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0
microsoft/semantic-kernel	28190	C#	false	false	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0
github/spec-kit	115352	Python	false	false	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1
wshobson/agents	37159	Python	false	false	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1
anthropics/claude-plugins-official	31077	Python	false	false	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1
ruvnet/claude-flow	61327	TypeScript	false	false	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1
musistudio/claude-code-router	35308	TypeScript	false	false	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1
Fission-AI/OpenSpec	56493	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1
