repo	stars	lang	fork	archived	readme	license	gitignore	ci	tests	lintcfg	lockfile	manifest	contributing	security	coc	issue_tmpl	pr_tmpl	dependabot	docs_dir	changelog	editorconfig	codeowners	precommit	skills	agent_md	plugins	templates	examples	prompts	schema	mcp	marketplace	hooks	commands
affaan-m/ECC	221357	JavaScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
mukul975/Anthropic-Cybersecurity-Skills	20709	Python	false	false	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
multica-ai/andrej-karpathy-skills	181773	?	false	false	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
claude-code-best/claude-code	20357	TypeScript	false	false	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1
anomalyco/opencode	178314	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
alchaincyf/huashu-design	19699	HTML	false	false	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
anthropics/claude-code	134267	Python	false	false	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1
JCodesMore/ai-website-cloner-template	19674	TypeScript	false	false	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1
garrytan/gstack	115152	TypeScript	false	false	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0
alirezarezvani/claude-skills	19008	Python	false	false	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1
farion1231/cc-switch	108074	Rust	false	false	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1
tirth8205/code-review-graph	18882	Python	false	false	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0
google-gemini/gemini-cli	105534	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1
decolua/9router	18416	JavaScript	false	false	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0
openai/codex	93512	Rust	false	false	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0
mksglu/context-mode	18131	TypeScript	false	false	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0
thedotmack/claude-mem	84189	JavaScript	false	false	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1
vxcontrol/pentagi	17948	Go	false	false	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0
JuliusBrussee/caveman	76685	JavaScript	false	false	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1
google-labs-code/design.md	17719	TypeScript	false	false	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
bytedance/deer-flow	74520	Python	false	false	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0
TransformerOptimus/SuperAGI	17579	Python	false	false	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
FoundationAgents/MetaGPT	69017	Python	false	false	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0
teng-lin/notebooklm-py	16820	Python	false	false	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0
cft0808/edict	16120	Python	false	false	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
shareAI-lab/learn-claude-code	68328	Python	false	false	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
addyosmani/agent-skills	66546	Shell	false	false	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1
jnMetaCode/agency-agents-zh	15554	Shell	false	false	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
rtk-ai/rtk	65879	Rust	false	false	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1
plandex-ai/plandex	15475	Go	false	false	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0
steipete/CodexBar	15354	Swift	false	false	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
earendil-works/pi	65440	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0
browser-use/browser-harness	15330	Python	false	false	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
gsd-build/get-shit-done	64512	JavaScript	false	false	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1
GLips/Figma-Context-MCP	15225	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1
openinterpreter/openinterpreter	64119	Rust	false	false	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0
wasp-lang/open-saas	14766	TypeScript	false	false	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0
cline/cline	63870	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
can1357/oh-my-pi	14548	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1
coleam00/context-engineering-intro	13489	Python	false	false	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1
code-yeongyu/oh-my-openagent	63556	TypeScript	false	false	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
YishenTu/claudian	13236	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1
shanraisshan/claude-code-best-practice	60071	HTML	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1
opencode-ai/opencode	13080	Go	false	true	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
microsoft/autogen	59228	Python	false	false	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0
chenhg5/cc-connect	13033	Go	false	false	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0
upstash/context7	58015	TypeScript	false	false	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1
Fission-AI/OpenSpec	56493	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1
NanmiCoder/cc-haha	12883	TypeScript	false	false	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1
DietrichGebert/ponytail	56210	JavaScript	false	false	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1
