repo	n_paths	truncated	adr	specs_dir	prd	requirements_md	roadmap	rfc	changelog	speckit	kiro	openspec	agents_md	claude_md	docs_dir	is_software
freeCodeCamp/freeCodeCamp	20702	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
public-apis/public-apis	29	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
donnemartin/system-design-primer	161	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
react/react	7891	false	false	false	false	false	false	false	true	false	false	false	false	true	true	true
torvalds/linux	71798	true	false	true	false	false	false	true	true	false	false	false	false	false	true	false
TheAlgorithms/Python	1736	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
vuejs/vue	612	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
tensorflow/tensorflow	38808	false	false	true	false	false	true	false	true	false	false	false	true	false	true	true
n8n-io/n8n	26073	false	false	true	false	false	false	false	true	false	false	false	true	true	true	true
microsoft/vscode	20198	false	false	false	false	false	true	false	true	false	false	false	true	false	true	true
codecrafters-io/build-your-own-x	4	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
sindresorhus/awesome	26	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
EbookFoundation/free-programming-books	244	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
openclaw/openclaw	21829	false	false	true	false	false	false	false	true	false	false	false	true	true	true	true
nilbuild/developer-roadmap	12731	false	false	false	true	false	false	true	true	false	false	false	false	false	false	true
jwasham/coding-interview-university	51	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
vinta/awesome-python	41	false	false	false	false	false	false	false	false	false	false	false	true	true	false	true
awesome-selfhosted/awesome-selfhosted	9	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
996icu/996.ICU	364	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
practical-tutorials/project-based-learning	10	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
obra/superpowers	223	false	false	true	false	false	false	false	false	false	false	false	true	true	true	true
trimstray/the-book-of-secret-knowledge	9	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
affaan-m/ECC	4472	false	false	false	false	false	false	false	true	false	true	false	true	true	true	true
ossu/computer-science	51	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
NousResearch/hermes-agent	6492	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
trekhleb/javascript-algorithms	945	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
ultraworkers/claw-code	485	false	false	false	false	false	true	false	false	false	false	false	false	true	true	true
ohmyzsh/ohmyzsh	1484	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Significant-Gravitas/AutoGPT	5701	false	false	false	false	false	false	false	false	false	true	false	true	true	true	true
CyC2018/CS-Notes	2779	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
getify/You-Dont-Know-JS	93	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
jackfrued/Python-100-Days	783	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
massgravel/Microsoft-Activation-Scripts	19	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
anomalyco/opencode	6747	false	false	true	false	false	false	false	true	false	false	false	true	false	true	true
flutter/flutter	19760	false	false	false	false	false	true	false	true	false	false	false	false	false	true	true
avelino/awesome-go	108	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true
ollama/ollama	1486	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
github/gitignore	337	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
twbs/bootstrap	912	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
yt-dlp/yt-dlp	1293	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
AUTOMATIC1111/stable-diffusion-webui	368	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
521xueweihan/HelloGitHub	265	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
huggingface/transformers	7339	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
jlevy/the-art-of-command-line	24	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
microsoft/markitdown	191	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
Snailclimb/JavaGuide	703	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
anthropics/skills	483	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false
langflow-ai/langflow	9288	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true
airbnb/javascript	76	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
mattpocock/skills	137	false	true	false	false	false	false	false	true	false	false	false	false	true	true	true
langgenius/dify	16391	false	false	true	false	false	false	false	false	false	false	false	true	true	true	true
Genymobile/scrcpy	428	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
open-webui/open-webui	5213	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
x1xhlol/system-prompts-and-models-of-ai-tools	152	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
ytdl-org/youtube-dl	1001	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
yangshun/tech-interview-handbook	805	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true
